Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
mega-construx-pokemon-spinarak,Mega Construx Pokemon Spinarak,Spinarak waits to attack with this buildable Pokemon figure! Continue your journey to become a Pokemon Trainer!,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY490,0.0,shopify,14,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/0b9cfd88727c102edcdc75c265497767.jpg?v=1676441625,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-ivysaur-buildable-figure,Mega Construx Pokemon Ivysaur Buildable Figure,"Unleash a Grass-Type attack with Ivysaur! Pokemon Trainers can practice their Grass-type attacks with their very own Ivysaur! Build this iconic Pokemon, and set the scene for battle when you get Ivysaur in position to snap its mighty vines!",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY489,0.0,shopify,6,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5f7b60f8f94ac64e3aacce6f426e9973.jpg?v=1676441624,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-wartortle-buildable-figure,Mega Construx Pokemon Wartortle Buildable Figure,"Wartortle is ready to extinguish the competition! Pokemon Trainer can dive into the battle when they build their very own Wartortle! Choose this iconic Water-type Pokemon then get set to make waves when you create a watery blast with the buildable, transparent battle effect details!",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY488,0.0,shopify,15,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/b5573723a25c892ea84ac8ab1c8959a2.jpg?v=1676441622,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-charmeleon-buildable-figure,Mega Construx Pokemon Charmeleon Buildable Figure,"Bring fire to the battle with Charmeleon! Pokemon Trainers can get fired up for the battle with their very own Charmeleon! Build your Pokemon, and get it ready for the fight, flaming tail and all. Then help unleash a Fire-type attack with the buildable, transparent battle effect details!",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY487,0.0,shopify,9,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/fb28e1e1a32fbbe52935a00a0681e794.jpg?v=1676441620,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-zubat-buildable-figure,Mega Construx Pokemon Zubat Buildable Figure,Zubat flies into battle with this buildable Pokemon figure! Build the power that's inside! The path to becoming a Pokemon Trainer starts when you choose your Pokemon.,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY486,0.0,shopify,1,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/c8617cef93b543d38baec8b96a2bcb23.jpg?v=1676441618,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-magikarp-buildable-figure,Mega Construx Pokemon Magikarp Buildable Figure,agikarp splashes onto the scene with this buildable Pokemon figure! Build the power that's inside! The path to becoming a Pokemon Trainer starts when you choose your Pokemon.,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY485,0.0,shopify,19,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/cccf0feaf696b45bc645c5261c2a3f0a.jpg?v=1676441615,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-machop-buildable-figure,Mega Construx Pokemon Machop Buildable Figure,Machop is ready to strike with this buildable Pokemon figure! Build the power that's inside! The path to becoming a Pokemon Trainer starts when you choose your Pokemon.,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY484,0.0,shopify,19,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/1b9a1f39ee06bf792e0fdd431ed7a6d9.jpg?v=1676441613,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-abra-buildable-figure,Mega Construx Pokemon Abra Buildable Figure,Abra appears with this buildable Pokemon figure! Build the power that's inside! The path to becoming a Pokemon Trainer starts when you choose your Pokemon.,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY483,0.0,shopify,14,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/afee7d38b3ca2ad943e3e8874006b833.jpg?v=1676441611,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-charizard-buildable-figure,Mega Construx Pokemon Charizard Buildable Figure,"Build Charizard and take to the skies! Charizard takes wing! Blaze through the skies when you build one of the most iconic Pokemon of all time! With its powerful wings and flaming tail, Charizard stands ready for anything!",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY482,0.0,shopify,5,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/364567ae2e04e6545c884ec322ee0cb5.jpg?v=1676441609,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-gyarados-buildable-figure,Mega Construx Pokemon Gyarados Buildable Figure,"Gyarados rises from the depths with this buildable Pokemon! With its fierce temper and intimidating attacks, it takes a true Trainer to battle a Pokemon like Gyarados.",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY481,0.0,shopify,15,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/a0b805976b05105c42522a5ad4d8c3e3.jpg?v=1676441607,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-baby-doll,Kuu Kuu Harajuku Baby Doll,"It's Baby, the sweet, adorable member of the super Kawaii band HJ5 from the series Kuu Kuu Harajuku! Her doll has iconic, black curly hair with a pink bow and wears a coordinating plaid skirt with matching sweater. ",NICKELODEON,,3,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY480,0.0,shopify,13,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/54e42d08fbba6da4041c07d880e546e9.jpg?v=1676441605,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-tour-bus,Kuu Kuu Harajuku Tour Bus,Hit the road to pop star fun with this colorfully cool tour van from the Kuu Kuu Harajuku TV series! HJ5 are going on tour and you are invited!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY479,0.0,shopify,2,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5e4e0b27f51c9018da97c65017b724b1.jpg?v=1676441602,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-angel-doll,Kuu Kuu Harajuku Angel Doll,"Meet Angel, the uber chic, uber enthusiastic cheerleader of HJ5 in the pop TV series Kuu Kuu Harajuku. Her fashion doll has braided, signature brown hair and a gold headband decorated with star accents.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY478,0.0,shopify,2,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5a8497c5602b03bf0ab2eeb1f71bbf76.jpg?v=1676441601,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-g-fashion-doll-with-fashions-gift-set,Kuu Kuu Harajuku G Fashion Doll with Fashions Gift Set,"Go on tour with G, the talented leader of the all-girl band HJ5! She is strong, focused, and driven and loves to sport the trendiest outfits, including her blue mesh skirt with white blouse, gray jacket, and black bow details.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY477,0.0,shopify,15,deny,manual,31.98,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e11e08a46c920e557a1503fa8906485a.jpg?v=1676441598,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-baby-fashion-doll-with-fashions-gift-set,Kuu Kuu Harajuku Baby Fashion Doll with Fashions Gift Set,"Join Baby for popstar adventures and fashion fun! She wide-eyed, innocent, and sees the adorable in everything even snakes and monsters! She wears trendy outfits that reflect her sweet personality, like her pink plaid skirt with matching sweater.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY476,0.0,shopify,14,deny,manual,31.98,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e3cb48f7620aaea86a4969d791b55834.jpg?v=1676441596,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-music-fashion-doll-with-fashions-gift-set,Kuu Kuu Harajuku Music Fashion Doll with Fashions Gift Set,"Go on tour with Music, the feisty, fearless member of the all-girl band HJ5! She shows off her love for fashion and performing with a trendy skirt, matching sweater, striped knee-highs, and music stick accents in her pulled-up hair.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY475,0.0,shopify,4,deny,manual,31.98,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e3ff2749447998dd3ebc5f028989553f.jpg?v=1676441594,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-musics-purse-playset,Kuu Kuu Harajuku Music's Purse Playset,Double your Kuu Kuu Harajuku fun with this Kawaii purse and playset in one! Fans can recreate scenes from the new Nickelodeon series in Music's unique environment and then transform her playset into a girl-size purse!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY474,0.0,shopify,13,deny,manual,13.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/205d50f18de6c4e31bd6e70e6d056dad.jpg?v=1676441592,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-gs-purse-playset,Kuu Kuu Harajuku G's Purse Playset,"Double your Kuu Kuu Harajuku fun with this Kawaii purse and playset in one! Fans can recreate scenes from the new Nickelodeon series in G's trendy, cool, creative environment, and then transform her playset into a purse!",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY473,0.0,shopify,5,deny,manual,13.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/1133556dbf78dd0830109588830b8cdb.jpg?v=1676441590,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-loves-purse-playset,Kuu Kuu Harajuku Love's Purse Playset,"Double your Kuu Kuu Harajuku fun with this Kawaii purse and playset in one! Fans can recreate scenes from the new Nickelodeon series in Love's iconic lab and living environment, and then transform her playset into a heart-shaped purse!",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY472,0.0,shopify,18,deny,manual,13.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/915b1b464ec820a5fea74dd2d8aa4bad.jpg?v=1676441588,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-angels-purse-playset,Kuu Kuu Harajuku Angel's Purse Playset,"Double your Kuu Kuu Harajuku fun with this Kawaii purse and playset in one! Fans can recreate scenes from the new Nickelodeon series in Angel's iconic environment, and then transform her playset into a child-size purse!",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY471,0.0,shopify,13,deny,manual,13.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/39ef6bce77e7e48687e01212b529907d.jpg?v=1676441586,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-rainbow-unicorn-fashion-pack,Kuu Kuu Harajuku Rainbow Unicorn Fashion Pack,Kuu Kuu Harajuku fans will go 'Kuu Kuu' for these Rainbow Unicorn themed Kawaii fashions and colorful story accessories!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY470,0.0,shopify,9,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/95f658b01cfc74ffc61222ea6431acd0.jpg?v=1676441584,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-butterfly-blooms-fashion-pack,Kuu Kuu Harajuku Butterfly Blooms Fashion Pack,Kuu Kuu Harajuku fans will go 'Kuu Kuu' for these Butterfly Blooms Kawaii fashions and colorful story accessories from the Nickelodeon series!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY469,0.0,shopify,12,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/c84c3eb33a440642878162bb43e43510.jpg?v=1676441582,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-sushi-fashion-pack,Kuu Kuu Harajuku Sushi Fashion Pack,Kuu Kuu Harajuku fans will go 'Kuu Kuu' for these Sushi themed Kawaii fashions and colorful story accessories!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY468,0.0,shopify,11,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/d0c3f1c6179679691c36dec67ca46252.jpg?v=1676441580,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-super-strawberry-fashion-pack,Kuu Kuu Harajuku Super Strawberry Fashion Pack,Kuu Kuu Harajuku fans will go 'Kuu Kuu' for these Super Strawberry themed Kawaii fashions and colorful story accessories!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY467,0.0,shopify,14,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/3c4cd44adeccf9a05eabd092d141fbbb.jpg?v=1676441579,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-fashion-music-doll,Kuu Kuu Harajuku Fashion Music Doll,"Meet Music, the feisty, fearless member of HJ5 in the Nickelodeon TV series Kuu Kuu Harajuku. Her fashion doll has signature pulled up hair with music stick accents, a trendy, coordinating skirt and sweater and striped knee-highs.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY466,0.0,shopify,5,deny,manual,19.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/1d423cf3401b740f6de107ea6574ab8a_cb881995-914a-4eb8-8429-0b766f8078d6.jpg?v=1676441577,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-concert-gift-set,Kuu Kuu Harajuku Concert Gift Set,"Now you can perform with HJ5 from the Nickelodeon animated series! This light-up concert stage is the perfect venue for the stylish all-girl band, with a backstage dressing room, colorful performance areas, and themed accessories, including mic and guitars. G doll is ready to share the spotlight with her band mates, and they all here Baby, Love, Music, and Angel!",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY465,0.0,shopify,6,deny,manual,103.96,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/56275cb6af7929cd3a3a34703d9d75e4.jpg?v=1676441574,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-concert-tour-gift-set,Kuu Kuu Harajuku Concert Tour Gift Set,"Have super-cool popstar adventures based on the animated Nickelodeon series! Hop aboard the colorful van, which features multiple play areas and includes a G fashion doll.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY464,0.0,shopify,10,deny,manual,111.97,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/5c023400652f922e2884d0b0eda599d0.jpg?v=1676441572,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-pink-cupcake-fashion-pack,Kuu Kuu Harajuku Pink Cupcake Fashion Pack,Kuu Kuu Harajuku fans will go 'Kuu Kuu' for these Pink Cupcake Kawaii fashions and colorful story accessories from the Nickelodeon TV series!,NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY463,0.0,shopify,6,deny,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e5705e0027a4f1834132572b4d7fda2c.jpg?v=1676441570,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-babys-purse-playset,Kuu Kuu Harajuku Baby's Purse Playset,"Double your Kuu Kuu Harajuku fun with this adorable purse and playset in one! Baby, from the new Nickelodeon series, has a play space filled with cute, cuddly, furry and yummy things, and includes a Baby doll, 3 storytelling pieces, 8 Harajuku Charms and extra storage space.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, on-sale, toys",true,Title,Default Title,,,,,TOY462,0.0,shopify,12,deny,manual,13.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/fdc7d3eb377938d4747324599d0f96e8.jpg?v=1676441568,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kuu-kuu-harajuku-music-doll,Kuu Kuu Harajuku Music Doll,"Meet Music, the feisty, fearless member of HJ5 in the Nickelodeon series Kuu Kuu Harajuku. Her doll has signature pulled up hair with music stick accents and wears a trendy, coordinating skirt and sweater.",NICKELODEON,,TOYS,"egnition-sample-data, nickelodeon, toys",true,Title,Default Title,,,,,TOY461,0.0,shopify,16,deny,manual,5.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/1d423cf3401b740f6de107ea6574ab8a.jpg?v=1676441566,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
disney-princess-magical-movers-ariel,Disney Princess Magical Movers Ariel,Disney Princess Magical Movers Ariel,DISNEY PRINCESS,,TOYS,"disney-princess, egnition-sample-data, toys",true,Title,Default Title,,,,,TOY460,0.0,shopify,12,deny,manual,5.61,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/3e49f5603f723c7657a5fc5a2e936686.jpg?v=1676441564,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
disney-color-change-reveal-pocahontas-doll,Disney Color Change Reveal Pocahontas Doll,Color change activated by warm water!,DISNEY PRINCESS,,TOYS,"disney-princess, egnition-sample-data, toys",true,Title,Default Title,,,,,TOY559,0.0,shopify,9,deny,manual,18.71,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/2b0690c075fd4623f95e7f79ba73f888.jpg?v=1676441562,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
disney-princess-little-kingdom-magical-movers-pony-ride-cinderella-s-stable-playset,Disney Princess Little Kingdom Magical Movers Pony Ride Cinderella' s Stable Playset,"Includes doll, playset, base, horse, and 2 accessories. Whirl and twirl into adventure with Magical Movers",DISNEY PRINCESS,,TOYS,"disney-princess, egnition-sample-data, toys",true,Title,Default Title,,,,,TOY458,0.0,shopify,15,deny,manual,14.03,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e9439a0572384f18b4beb664dd90fa8f.jpg?v=1676441560,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
disney-princess-little-kingdom-cinderella-and-ariel,Disney Princess Little Kingdom Cinderella and Ariel,Disney Princess Little Kingdom Cinderella Ariel,DISNEY PRINCESS,,TOYS,"disney-princess, egnition-sample-data, toys",true,Title,Default Title,,,,,TOY457,0.0,shopify,17,deny,manual,11.22,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/89b75d3cf76c1a293cb4ce9079edf5d8.jpg?v=1676441559,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
